location,price,m2,price/m2,details,floor,build
"град Русе, Алеи Възраждане",52 900 EUR,52 m2,(1017 EUR/m2),Продава 1-СТАЕН,2-ри от 6,ТEЦ: ДА
"град Русе, Възраждане",55 000 EUR,50 m2,(1100 EUR/m2),Продава 1-СТАЕН,5-ти от 8,ТEЦ: ДА
"град Русе, Дружба 1",32 000 EUR,38 m2,(842 EUR/m2),Продава 1-СТАЕН,4-ти от 5,Строителство: Панел
"град Русе, Дружба 1",36 000 EUR,42 m2,(857 EUR/m2),Продава 1-СТАЕН,5-ти от 5,Строителство: Панел
"град Русе, Дружба 2",22 000 EUR,70 m2,(314 EUR/m2),Продава 1-СТАЕН,Тухла,"
"
"град Русе, Здравец Изток, Медика",27 700 EUR,33 m2,(839 EUR/m2),Продава 1-СТАЕН,10-ти от 15,Строителство: ЕПК
"град Русе, Мидия Енос",31 000 EUR,40 m2,(775 EUR/m2),Продава 1-СТАЕН,3-ти от 6,Строителство: Панел
"град Русе, Цветница",35 500 EUR,47 m2,(755 EUR/m2),Продава 1-СТАЕН,1-ви от 15,Газ: НЕ
"град Русе, Център, зад Историческия музей",41 000 EUR,38 m2,(1079 EUR/m2),Продава 1-СТАЕН,3-ти от 6,Строителство: Тухла
"град Русе, Широк център",33 000 EUR,42 m2,(786 EUR/m2),Продава 1-СТАЕН,4-ти от 8,"Строителство: Панел, 1980 г."
"град Русе, Алеи Възраждане",62 900 EUR,62 m2,(1015 EUR/m2),Продава 2-СТАЕН,2-ри от 6,ТEЦ: ДА
"град Русе, Възраждане",45 000 EUR,48 m2,(938 EUR/m2),Продава 2-СТАЕН,4-ти от 4,Газ: НЕ
"град Русе, Възраждане, Париж",51 000 EUR,50 m2,(1020 EUR/m2),Продава 2-СТАЕН,4-ти от 4,ТEЦ: ДА
"град Русе, Дружба 2",53 500 EUR,70 m2,(764 EUR/m2),Продава 2-СТАЕН,2-ри от 5,Строителство: Тухла
"град Русе, Дружба 3, бул.,,Гоце Делчев''",64 999 лв.,76 m2,(855 лв./m2),Продава 2-СТАЕН,2-ри от 3,"Строителство: Тухла, 1990 г."
"град Русе, Дружба 3",62 300 EUR,65 m2,(958 EUR/m2),Продава 2-СТАЕН,8-ми от 8,Газ: ДА
"град Русе, Дружба 3",66 800 EUR,62 m2,(1077 EUR/m2),Продава 2-СТАЕН,5-ти от 8,Строителство: Панел
"град Русе, Здравец Изток",42 990 EUR,75 m2,(573 EUR/m2),Продава 2-СТАЕН,6-ти от 6,"Строителство: Тухла, 2021 г."
"град Русе, Здравец Изток, Птиците",47 000 EUR,63 m2,(746 EUR/m2),Продава 2-СТАЕН,13-ти от 15,Строителство: ЕПК
"град Русе, Здравец Изток, Птиците",47 000 EUR,72 m2,(653 EUR/m2),Продава 2-СТАЕН,9-ти от 15,Строителство: ЕПК
"град Русе, Родина 1",57 000 EUR,60 m2,(950 EUR/m2),Продава 2-СТАЕН,6-ти от 8,Строителство: Панел
"град Русе, Родина 2, Жорела",44 000 EUR,62 m2,(710 EUR/m2),Продава 2-СТАЕН,8-ми от 8,Строителство: Панел
"град Русе, Родина 3",54 000 EUR,72 m2,(750 EUR/m2),Продава 2-СТАЕН,2-ри от 4,Строителство: Тухла
"град Русе, Цветница",43 500 EUR,42 m2,(1036 EUR/m2),Продава 2-СТАЕН,5-ти от 7,ТEЦ: ДА
"град Русе, Център",48 200 EUR,58 m2,(831 EUR/m2),Продава 2-СТАЕН,4-ти от 4,Строителство: Тухла
"град Русе, Център",60 000 EUR,78 m2,(769 EUR/m2),Продава 2-СТАЕН,4-ти от 5,"Строителство: Тухла, 2000 г."
"град Русе, Център, Операта",61 800 EUR,67 m2,(922 EUR/m2),Продава 2-СТАЕН,5-ти от 5,Газ: ДА
"град Русе, Център, Комплекс Арена",66 900 EUR,86 m2,(778 EUR/m2),Продава 2-СТАЕН,6-ти от 13,ТEЦ: ДА
"град Русе, Център",67 000 EUR,62 m2,(1081 EUR/m2),Продава 2-СТАЕН,Панел,"
"
"град Русе, Център",67 500 EUR,67 m2,(1007 EUR/m2),Продава 2-СТАЕН,6-ти от 6,Строителство: Панел
"град Русе, Център, Исторически музей",70 998 EUR,69 m2,(1029 EUR/m2),Продава 2-СТАЕН,3-ти от 5,Газ: ДА
"град Русе, Център",82 000 EUR,70 m2,(1171 EUR/m2),Продава 2-СТАЕН,2-ри от 5,Строителство: Тухла
"град Русе, Център, Си Банк",87 500 EUR,68 m2,(1287 EUR/m2),Продава 2-СТАЕН,2-ри от 4,Газ: ДА
"град Русе, Център",88 000 EUR,68 m2,(1294 EUR/m2),Продава 2-СТАЕН,2-ри от 4,Строителство: Тухла
"град Русе, Чародейка - Север",32 000 EUR,60 m2,(533 EUR/m2),Продава 2-СТАЕН,8-ми от 8,Строителство: Панел
"град Русе, Чародейка - Север",60 000 EUR,60 m2,(1000 EUR/m2),Продава 2-СТАЕН,2-ри от 8,Газ: НЕ
"град Русе, Чародейка - Юг, 200-те",28 990 EUR,62 m2,(468 EUR/m2),Продава 2-СТАЕН,8-ми от 8,"Строителство: Панел, 1987 г."
"град Русе, Широк център",33 000 EUR,60 m2,(550 EUR/m2),Продава 2-СТАЕН,9-ти от 11,"Строителство: ЕПК, 1980 г."
"град Русе, Широк център",71 100 EUR,79 m2,(900 EUR/m2),Продава 2-СТАЕН,4-ти от 6,Газ: ДА
"град Русе, Ялта, градски стадион",65 000 EUR,65 m2,(1000 EUR/m2),Продава 2-СТАЕН,5-ти от 5,"Строителство: Тухла, 2010 г."
"град Русе, Алеи Възраждане",84 900 EUR,83 m2,(1023 EUR/m2),Продава 3-СТАЕН,2-ри от 6,ТEЦ: ДА
"град Русе, Алеи Възраждане",115 000 EUR,90 m2,(1278 EUR/m2),Продава 3-СТАЕН,1-ви от 4,ТEЦ: ДА
"град Русе, Възраждане",62 900 EUR,85 m2,(740 EUR/m2),Продава 3-СТАЕН,1-ви от 4,"Строителство: Тухла, 1980 г."
"град Русе, Възраждане",65 000 EUR,78 m2,(833 EUR/m2),Продава 3-СТАЕН,7-ми от 8,ТEЦ: ДА
"град Русе, Възраждане, Закритият пазар",78 000 EUR,100 m2,(780 EUR/m2),Продава 3-СТАЕН,1-ви от 5,ТEЦ: ДА
"град Русе, Възраждане, Началото",79 900 EUR,75 m2,(1065 EUR/m2),Продава 3-СТАЕН,1-ви от 4,ТEЦ: ДА
"град Русе, Възраждане, ул. Плиска",84 990 EUR,100 m2,(850 EUR/m2),Продава 3-СТАЕН,4-ти от 7,ТEЦ: ДА
"град Русе, Възраждане, Руската гимназия",118 000 EUR,96 m2,(1229 EUR/m2),Продава 3-СТАЕН,3-ти от 7,ТEЦ: ДА
"град Русе, Дружба 2, ул КРЪСТЕЦ ",49 900 EUR,96 m2,(520 EUR/m2),Продава 3-СТАЕН,4-ти от 4,"Строителство: Тухла, 1991 г."
"град Русе, Дружба 2, улТинтява /начало/",54 500 EUR,78 m2,(699 EUR/m2),Продава 3-СТАЕН,3-ти от 5,"Строителство: Тухла, 1990 г."
"град Русе, Дружба 2, ул. Кръстец",70 000 EUR,110 m2,(636 EUR/m2),Продава 3-СТАЕН,1-ви от 4,"Строителство: Тухла, 1997 г."
"град Русе, Дружба 2",76 900 EUR,100 m2,(769 EUR/m2),Продава 3-СТАЕН,2-ри от 3,Строителство: Тухла
"град Русе, Дружба 2",90 000 EUR,102 m2,(882 EUR/m2),Продава 3-СТАЕН,3-ти от 4,Газ: ДА
"град Русе, Дружба 3",28 990 EUR,71 m2,(408 EUR/m2),Продава 3-СТАЕН,1-ви от 3,Строителство: Тухла
"град Русе, Дружба 3",59 900 EUR,103 m2,(582 EUR/m2),Продава 3-СТАЕН,5-ти от 6,Строителство: Панел
"град Русе, Дружба 3",84 900 EUR,100 m2,(849 EUR/m2),Продава 3-СТАЕН,5-ти от 8,Строителство: Панел
"град Русе, Здравец Изток",68 000 EUR,84 m2,(810 EUR/m2),Продава 3-СТАЕН,6-ти от 8,Строителство: Панел
"град Русе, Родина 2",84 950 EUR,80 m2,(1062 EUR/m2),Продава 3-СТАЕН,6-ти от 8,Строителство: Панел
"град Русе, Централен южен район",59 999 EUR,71 m2,(845 EUR/m2),Продава 3-СТАЕН,2-ри от 4,Строителство: Тухла
"град Русе, Център, ул.Борисова",74 000 EUR,85 m2,(871 EUR/m2),Продава 3-СТАЕН,5-ти от 8,Газ: НЕ
"град Русе, Център",75 990 EUR,66 m2,(1151 EUR/m2),Продава 3-СТАЕН,2-ри от 4,Строителство: Тухла
"град Русе, Център, топ център",76 000 EUR,86 m2,(884 EUR/m2),Продава 3-СТАЕН,Тухла,"
"
"град Русе, Център",82 000 EUR,90 m2,(911 EUR/m2),Продава 3-СТАЕН,Тухла,"
"
"град Русе, Център",82 900 EUR,88 m2,(942 EUR/m2),Продава 3-СТАЕН,7-ми от 8,Строителство: Тухла
"град Русе, Център, Хъшовете",87 800 EUR,101 m2,(869 EUR/m2),Продава 3-СТАЕН,3-ти от 6,"Строителство: Тухла, 2023 г."
"град Русе, Център",89 900 EUR,72 m2,(1249 EUR/m2),Продава 3-СТАЕН,3-ти от 4,Строителство: Тухла
"град Русе, Център, хотел Рига",90 000 EUR,95 m2,(947 EUR/m2),Продава 3-СТАЕН,3-ти от 4,Газ: ДА
"град Русе, Център",90 800 EUR,109 m2,(833 EUR/m2),Продава 3-СТАЕН,5-ти от 5,Газ: ДА
"град Русе, Център, х-л Рига",91 000 EUR,109 m2,(835 EUR/m2),Продава 3-СТАЕН,5-ти от 5,Газ: ДА
"град Русе, Център, х-л Рига",91 000 EUR,109 m2,(835 EUR/m2),Продава 3-СТАЕН,5-ти от 5,"Строителство: Тухла, 2006 г."
"град Русе, Център, ул.Бозвели",98 000 EUR,102 m2,(961 EUR/m2),Продава 3-СТАЕН,2-ри от 3,Газ: ДА
"град Русе, Център",99 000 EUR,80 m2,(1238 EUR/m2),Продава 3-СТАЕН,3-ти от 7,Газ: ДА
"град Русе, Център, Халите",99 000 EUR,80 m2,(1238 EUR/m2),Продава 3-СТАЕН,2-ри от 6,Газ: ДА
"град Русе, Център",99 000 EUR,80 m2,(1238 EUR/m2),Продава 3-СТАЕН,3-ти от 7,Газ: ДА
"град Русе, Център",106 900 EUR,104 m2,(1028 EUR/m2),Продава 3-СТАЕН,4-ти от 8,Строителство: Тухла
"град Русе, Център, /ДО ПАНТЕОНА/",112 000 EUR,100 m2,(1120 EUR/m2),Продава 3-СТАЕН,3-ти от 5,Строителство: Тухла
"град Русе, Център",131 000 EUR,115 m2,(1139 EUR/m2),Продава 3-СТАЕН,3-ти от 7,Строителство: Тухла
"град Русе, Център",135 000 EUR,121 m2,(1116 EUR/m2),Продава 3-СТАЕН,2-ри от 5,Газ: ДА
"град Русе, Център",167 000 EUR,133 m2,(1256 EUR/m2),Продава 3-СТАЕН,2-ри от 4,Газ: ДА
"град Русе, Чародейка - Юг, стоте",52 000 EUR,82 m2,(634 EUR/m2),Продава 3-СТАЕН,1-ви от 8,Строителство: Панел
"град Русе, Широк център, Борисова",70 000 EUR,88 m2,(795 EUR/m2),Продава 3-СТАЕН,13-ти от 15,Строителство: ЕПК
"град Русе, Широк център",74 900 EUR,92 m2,(814 EUR/m2),Продава 3-СТАЕН,2-ри от 5,Строителство: Тухла
"град Русе, Широк център",77 800 EUR,104 m2,(748 EUR/m2),Продава 3-СТАЕН,5-ти от 8,ТEЦ: ДА
"град Русе, Широк център",100 750 EUR,155 m2,(650 EUR/m2),Продава 3-СТАЕН,1-ви от 6,Газ: ДА
"град Русе, Широк център",150 000 EUR,150 m2,(1000 EUR/m2),Продава 3-СТАЕН,3-ти от 4,ТEЦ: ДА
"град Русе, Възраждане",141 000 EUR,151 m2,(934 EUR/m2),Продава 4-СТАЕН,6-ти от 8,Строителство: ЕПК
"град Русе, Дружба 2",83 000 EUR,106 m2,(783 EUR/m2),Продава 4-СТАЕН,3-ти от 4,Строителство: Тухла
"град Русе, Център",85 000 EUR,109 m2,(780 EUR/m2),Продава 4-СТАЕН,4-ти от 5,Газ: ДА
"град Русе, Чародейка - Север",62 500 EUR,104 m2,(601 EUR/m2),Продава 4-СТАЕН,5-ти от 8,Строителство: Панел
"град Русе, Широк център, ЦЮР",78 900 EUR,97 m2,(813 EUR/m2),Продава 4-СТАЕН,5-ти от 8,ТEЦ: ДА
"град Русе, Алеи Възраждане",37 900 EUR,39 m2,(972 EUR/m2),Продава 1-СТАЕН,1-ви от 6,ТEЦ: ДА
"град Русе, Алеи Възраждане",39 900 EUR,40 m2,(998 EUR/m2),Продава 1-СТАЕН,1-ви от 6,ТEЦ: ДА
"град Русе, в.з. Русофили",16 600 EUR,40 m2,(415 EUR/m2),Продава 1-СТАЕН,3-ти от 3,Строителство: Тухла
"град Русе, в.з. Русофили",20 200 EUR,40 m2,(505 EUR/m2),Продава 1-СТАЕН,1-ви от 2,Строителство: Тухла
"град Русе, Възраждане, Воден",48 000 EUR,42 m2,(1143 EUR/m2),Продава 1-СТАЕН,7-ми от 8,ТEЦ: ДА
"град Русе, Здравец Изток, Птиците",34 990 EUR,35 m2,(1000 EUR/m2),Продава 1-СТАЕН,9-ти от 15,Строителство: Тухла
"град Русе, Здравец Изток",43 000 EUR,75 m2,(573 EUR/m2),Продава 1-СТАЕН,6-ти от 6,Газ: ДА
"град Русе, Здравец Север 2",35 000 EUR,40 m2,(875 EUR/m2),Продава 1-СТАЕН,1-ви от 8,ТEЦ: ДА
"град Русе, Мидия Енос",36 000 EUR,42 m2,(857 EUR/m2),Продава 1-СТАЕН,8-ми от 8,Строителство: Панел
"град Русе, Център",42 500 EUR,39 m2,(1090 EUR/m2),Продава 1-СТАЕН,2-ри от 2,Строителство: Тухла
"град Русе, Чародейка - Север",26 900 EUR,42 m2,(640 EUR/m2),Продава 1-СТАЕН,3-ти от 8,"Строителство: Панел, 1985 г."
"град Русе, Чародейка - Юг",30 000 EUR,40 m2,(750 EUR/m2),Продава 1-СТАЕН,Панел,"
"
"град Русе, Широк център",31 000 EUR,29 m2,(1069 EUR/m2),Продава 1-СТАЕН,1-ви от 6,Строителство: Тухла
"град Русе, Широк център",54 000 EUR,60 m2,(900 EUR/m2),Продава 1-СТАЕН,5-ти от 6,Газ: ДА
"град Русе, Алеи Възраждане",61 900 EUR,63 m2,(983 EUR/m2),Продава 2-СТАЕН,1-ви от 6,ТEЦ: ДА
"град Русе, Алеи Възраждане",63 900 EUR,62 m2,(1031 EUR/m2),Продава 2-СТАЕН,3-ти от 6,ТEЦ: ДА
"град Русе, Алеи Възраждане",64 900 EUR,65 m2,(998 EUR/m2),Продава 2-СТАЕН,2-ри от 6,ТEЦ: ДА
"град Русе, Алеи Възраждане",65 900 EUR,65 m2,(1014 EUR/m2),Продава 2-СТАЕН,3-ти от 6,ТEЦ: ДА
"град Русе, Възраждане",47 000 EUR,55 m2,(855 EUR/m2),Продава 2-СТАЕН,Партер от 15,ТEЦ: ДА
"град Русе, Възраждане, Руска езикова гимназия",54 000 EUR,62 m2,(871 EUR/m2),Продава 2-СТАЕН,7-ми от 8,ТEЦ: ДА
"град Русе, Възраждане",58 900 EUR,75 m2,(785 EUR/m2),Продава 2-СТАЕН,2-ри от 3,ТEЦ: Лок.отопл.
"град Русе, Възраждане",62 000 EUR,66 m2,(939 EUR/m2),Продава 2-СТАЕН,5-ти от 5,ТEЦ: ДА
"град Русе, Възраждане, Покрития пазар",83 200 EUR,68 m2,(1224 EUR/m2),Продава 2-СТАЕН,7-ми от 8,ТEЦ: ДА
"град Русе, Здравец, ул. Петрохан",49 000 EUR,67 m2,(731 EUR/m2),Продава 2-СТАЕН,12-ти от 15,Газ: НЕ
"град Русе, Здравец, Космонавтите",50 000 EUR,68 m2,(735 EUR/m2),Продава 2-СТАЕН,14-ти от 15,ТEЦ: ДА
"град Русе, Здравец Изток, до Дойче шуле",39 000 EUR,62 m2,(629 EUR/m2),Продава 2-СТАЕН,5-ти от 5,Газ: НЕ
"град Русе, Родина 1",67 000 EUR,65 m2,(1031 EUR/m2),Продава 2-СТАЕН,2-ри от 4,Газ: ДА
"град Русе, Родина 2",56 000 EUR,51 m2,(1098 EUR/m2),Продава 2-СТАЕН,4-ти от 15,Строителство: ЕПК
"град Русе, Централен южен район",59 999 EUR,71 m2,(845 EUR/m2),Продава 2-СТАЕН,2-ри от 4,Строителство: Тухла
"град Русе, Център, СБА",58 000 EUR,64 m2,(906 EUR/m2),Продава 2-СТАЕН,8-ми от 14,"Строителство: Тухла, 1980 г."
"град Русе, Център, х-л Дунав",76 000 EUR,86 m2,(884 EUR/m2),Продава 2-СТАЕН,2-ри от 4,Строителство: Тухла
"град Русе, Център",93 800 EUR,70 m2,(1340 EUR/m2),Продава 2-СТАЕН,4-ти от 5,Строителство: Тухла
"град Русе, Чародейка - Юг",34 000 EUR,61 m2,(557 EUR/m2),Продава 2-СТАЕН,7-ми от 7,Строителство: Панел
"град Русе, Чародейка - Юг",43 000 EUR,60 m2,(717 EUR/m2),Продава 2-СТАЕН,1-ви от 8,"Строителство: Панел, 1985 г."
"град Русе, Широк център",103 350 EUR,159 m2,(650 EUR/m2),Продава 2-СТАЕН,1-ви от 6,Газ: ДА
"град Русе, Алеи Възраждане",85 900 EUR,83 m2,(1035 EUR/m2),Продава 3-СТАЕН,3-ти от 6,ТEЦ: ДА
"град Русе, Алеи Възраждане",116 900 EUR,117 m2,(999 EUR/m2),Продава 3-СТАЕН,3-ти от 6,ТEЦ: ДА
"град Русе, Възраждане",48 000 EUR,73 m2,(658 EUR/m2),Продава 3-СТАЕН,5-ти от 14,Строителство: Тухла
"град Русе, Възраждане, Руската гимназия",50 500 EUR,82 m2,(616 EUR/m2),Продава 3-СТАЕН,8-ми от 8,Строителство: Панел
"град Русе, Възраждане, Локомотив",52 000 EUR,74 m2,(703 EUR/m2),Продава 3-СТАЕН,5-ти от 15,ТEЦ: ДА
"град Русе, Възраждане",95 000 EUR,100 m2,(950 EUR/m2),Продава 3-СТАЕН,1-ви от 3,ТEЦ: ДА
"град Русе, Възраждане",115 000 EUR,90 m2,(1278 EUR/m2),Продава 3-СТАЕН,1-ви от 5,ТEЦ: ДА
"град Русе, Дружба 2, бул.България ",70 000 EUR,100 m2,(700 EUR/m2),Продава 3-СТАЕН,2-ри от 6,"Строителство: Тухла, 1990 г."
"град Русе, Дружба 3",47 000 EUR,117 m2,(402 EUR/m2),Продава 3-СТАЕН,Панел,"
"
"град Русе, Дружба 3, център",65 000 EUR,80 m2,(813 EUR/m2),Продава 3-СТАЕН,6-ти от 8,"Строителство: Панел, 1989 г."
"град Русе, Дружба 3",69 700 EUR,80 m2,(871 EUR/m2),Продава 3-СТАЕН,2-ри от 8,Строителство: Панел
"град Русе, Здравец, Лидъл",45 000 EUR,85 m2,(529 EUR/m2),Продава 3-СТАЕН,2-ри от 2,Строителство: Тухла
"град Русе, Здравец, Радилон",70 000 EUR,83 m2,(843 EUR/m2),Продава 3-СТАЕН,1-ви от 6,ТEЦ: ДА
"град Русе, Здравец Изток",55 000 EUR,80 m2,(688 EUR/m2),Продава 3-СТАЕН,7-ми от 8,"Строителство: Панел, 1988 г."
"град Русе, Мидия Енос",70 000 EUR,104 m2,(673 EUR/m2),Продава 3-СТАЕН,1-ви от 4,"Строителство: Тухла, 1997 г."
"град Русе, Родина 1, РОДИНА 1",52 000 EUR,80 m2,(650 EUR/m2),Продава 3-СТАЕН,НЕ,Строителство: Панел
"град Русе, Център, старата поща",43 500 EUR,96 m2,(453 EUR/m2),Продава 3-СТАЕН,Партер от 6,"Строителство: Тухла, 1996 г."
"град Русе, Център, Математическа гимназия",69 900 EUR,81 m2,(863 EUR/m2),Продава 3-СТАЕН,4-ти от 4,"Строителство: Тухла, 1968 г."
"град Русе, Център",69 999 EUR,90 m2,(778 EUR/m2),Продава 3-СТАЕН,4-ти от 4,Строителство: Тухла
"град Русе, Център",72 000 EUR,75 m2,(960 EUR/m2),Продава 3-СТАЕН,2-ри от 4,Газ: ДА
"град Русе, Център",74 000 EUR,113 m2,(655 EUR/m2),Продава 3-СТАЕН,2-ри от 6,Строителство: Тухла
"град Русе, Център",74 900 EUR,90 m2,(832 EUR/m2),Продава 3-СТАЕН,4-ти от 5,Строителство: Тухла
"град Русе, Център, Водното",79 999 EUR,100 m2,(800 EUR/m2),Продава 3-СТАЕН,4-ти от 5,Строителство: Тухла
"град Русе, Център, 2-ра поликлиника",82 000 EUR,88 m2,(932 EUR/m2),Продава 3-СТАЕН,7-ми от 8,Строителство: Тухла
"град Русе, Център, Математическа гимназия",82 000 EUR,88 m2,(932 EUR/m2),Продава 3-СТАЕН,7-ми от 8,Газ: ДА
"град Русе, Център",83 000 EUR,95 m2,(874 EUR/m2),Продава 3-СТАЕН,2-ри от 2,Строителство: Тухла
"град Русе, Център, до Водопада",85 000 EUR,110 m2,(773 EUR/m2),Продава 3-СТАЕН,2-ри от 5,"Строителство: Тухла, 1997 г."
"град Русе, Център",91 900 EUR,109 m2,(843 EUR/m2),Продава 3-СТАЕН,5-ти от 5,"Строителство: Тухла, 2015 г."
"град Русе, Център, Хъшовете",91 913 EUR,106 m2,(867 EUR/m2),Продава 3-СТАЕН,4-ти от 6,"Строителство: Тухла, 2023 г."
"град Русе, Център, бул,,Бозвели''",97 999 EUR,100 m2,(980 EUR/m2),Продава 3-СТАЕН,2-ри от 3,Газ: НЕ
"град Русе, Център",98 000 EUR,102 m2,(961 EUR/m2),Продава 3-СТАЕН,2-ри от 3,Газ: ДА
"град Русе, Център",99 000 EUR,80 m2,(1238 EUR/m2),Продава 3-СТАЕН,3-ти от 7,Газ: ДА
"град Русе, Център, Комплекс Арена",103 200 EUR,131 m2,(788 EUR/m2),Продава 3-СТАЕН,10-ти от 13,ТEЦ: ДА
"град Русе, Център",124 500 EUR,85 m2,(1465 EUR/m2),Продава 3-СТАЕН,4-ти от 5,ТEЦ: ДА
"град Русе, Център",148 000 EUR,98 m2,(1510 EUR/m2),Продава 3-СТАЕН,3-ти от 5,Газ: ДА
"град Русе, Център",170 000 EUR,105 m2,(1619 EUR/m2),Продава 3-СТАЕН,4-ти от 5,ТEЦ: ДА
"град Русе, Център, ПЛОЩАДА",205 000 EUR,118 m2,(1737 EUR/m2),Продава 3-СТАЕН,6-ти от 7,ТEЦ: ДА
"град Русе, Широк център, ул.Видин",51 700 EUR,93 m2,(556 EUR/m2),Продава 3-СТАЕН,5-ти от 5,Строителство: Тухла
"град Русе, Широк център",57 900 EUR,90 m2,(643 EUR/m2),Продава 3-СТАЕН,5-ти от 6,Строителство: Тухла
"град Русе, Широк център",60 000 EUR,78 m2,(769 EUR/m2),Продава 3-СТАЕН,4-ти от 5,"Строителство: Тухла, 2000 г."
"град Русе, Широк център",65 000 EUR,95 m2,(684 EUR/m2),Продава 3-СТАЕН,15-ти от 15,Строителство: ЕПК
"град Русе, Широк център",70 000 EUR,100 m2,(700 EUR/m2),Продава 3-СТАЕН,10-ти от 10,Газ: ДА
"град Русе, Широк център",85 000 EUR,92 m2,(924 EUR/m2),Продава 3-СТАЕН,6-ти от 8,Газ: ДА
"град Русе, Широк център",98 000 EUR,102 m2,(961 EUR/m2),Продава 3-СТАЕН,2-ри от 3,Строителство: Тухла
"град Русе, Дружба 3",120 000 лв.,98 m2,(1224 лв./m2),Продава 4-СТАЕН,4-ти от 6,Строителство: Панел
"град Русе, Център, Идеален център",87 000 EUR,118 m2,(737 EUR/m2),Продава 4-СТАЕН,4-ти от 5,Строителство: Тухла
"град Русе, Център, Пантеона",122 000 EUR,120 m2,(1017 EUR/m2),Продава 4-СТАЕН,5-ти от 6,ТEЦ: ДА
"град Русе, Център, Макаронена",167 000 EUR,130 m2,(1285 EUR/m2),Продава 4-СТАЕН,2-ри от 6,Газ: ДА
"град Русе, Център, Комплекс Арена",219 500 EUR,269 m2,(816 EUR/m2),Продава 4-СТАЕН,13-ти от 14,ТEЦ: ДА
"град Русе, Широк център",77 500 EUR,120 m2,(646 EUR/m2),Продава 4-СТАЕН,5-ти от 8,ТEЦ: ДА
"град Русе, Широк център",167 000 EUR,133 m2,(1256 EUR/m2),Продава 4-СТАЕН,2-ри от 4,Газ: ДА
"град Русе, Алеи Възраждане, преди Р У",41 200 EUR,48 m2,(858 EUR/m2),Продава 1-СТАЕН,8-ми от 8,ТEЦ: ДА
"град Русе, Веждата",19 955 лв.,47 m2,(425 лв./m2),Продава 1-СТАЕН,Тухла,"
"
"град Русе, Възраждане, Тубдиспансера",28 500 EUR,56 m2,(509 EUR/m2),Продава 1-СТАЕН,1-ви от 1,Строителство: Тухла
"град Русе, Възраждане, Алеите",37 000 EUR,50 m2,(740 EUR/m2),Продава 1-СТАЕН,13-ти от 15,Газ: НЕ
"град Русе, Възраждане",40 000 EUR,48 m2,(833 EUR/m2),Продава 1-СТАЕН,8-ми от 8,ТEЦ: ДА
"град Русе, Възраждане",40 000 EUR,42 m2,(952 EUR/m2),Продава 1-СТАЕН,8-ми от 8,ТEЦ: ДА
"град Русе, Възраждане",40 900 EUR,48 m2,(852 EUR/m2),Продава 1-СТАЕН,8-ми от 8,ТEЦ: ДА
"град Русе, Възраждане",40 900 EUR,48 m2,(852 EUR/m2),Продава 1-СТАЕН,8-ми от 8,ТEЦ: ДА
"град Русе, Възраждане, ВТУ",40 999 EUR,48 m2,(854 EUR/m2),Продава 1-СТАЕН,8-ми от 8,ТEЦ: ДА
"град Русе, Възраждане",41 000 EUR,48 m2,(854 EUR/m2),Продава 1-СТАЕН,8-ми от 8,Газ: НЕ
"град Русе, Възраждане, ВТУ",41 200 EUR,48 m2,(858 EUR/m2),Продава 1-СТАЕН,8-ми от 8,ТEЦ: ДА
"град Русе, Възраждане",41 200 EUR,48 m2,(858 EUR/m2),Продава 1-СТАЕН,8-ми от 8,ТEЦ: ДА
"град Русе, Възраждане",41 200 EUR,48 m2,(858 EUR/m2),Продава 1-СТАЕН,8-ми от 8,ТEЦ: ДА
"град Русе, Възраждане, Руската гимназия",42 500 EUR,40 m2,(1063 EUR/m2),Продава 1-СТАЕН,2-ри от 8,ТEЦ: ДА
"град Русе, Възраждане, СОУЕЕ, ВТУ",47 000 EUR,42 m2,(1119 EUR/m2),Продава 1-СТАЕН,Панел,"
"
"град Русе, Възраждане, началото",47 500 EUR,37 m2,(1284 EUR/m2),Продава 1-СТАЕН,2-ри от 8,ТEЦ: ДА
"град Русе, Възраждане",47 900 EUR,38 m2,(1261 EUR/m2),Продава 1-СТАЕН,6-ти от 8,ТEЦ: ДА
"град Русе, Възраждане",48 000 EUR,42 m2,(1143 EUR/m2),Продава 1-СТАЕН,6-ти от 8,ТEЦ: ДА
"град Русе, Възраждане, У-ще Възраждане",55 000 EUR,49 m2,(1122 EUR/m2),Продава 1-СТАЕН,5-ти от 7,ТEЦ: ДА
"град Русе, Възраждане, Юг",55 000 EUR,49 m2,(1122 EUR/m2),Продава 1-СТАЕН,4-ти от 7,ТEЦ: ДА
"град Русе, Възраждане",56 500 EUR,49 m2,(1153 EUR/m2),Продава 1-СТАЕН,4-ти от 7,ТEЦ: ДА
"град Русе, Възраждане",61 000 EUR,45 m2,(1356 EUR/m2),Продава 1-СТАЕН,2-ри от 8,ТEЦ: ДА
"град Русе, Възраждане",64 900 EUR,49 m2,(1324 EUR/m2),Продава 1-СТАЕН,ЕПК,"
"
"град Русе, Дружба 1",26 000 EUR,40 m2,(650 EUR/m2),Продава 1-СТАЕН,1-ви от 4,Строителство: Панел
"град Русе, Дружба 1, у-ще Васил Левски",26 000 EUR,40 m2,(650 EUR/m2),Продава 1-СТАЕН,1-ви от 8,Строителство: Панел
"град Русе, Дружба 1",26 800 EUR,42 m2,(638 EUR/m2),Продава 1-СТАЕН,5-ти от 5,Строителство: Панел
